model,score_1,score_2,score_3,score_4,score_5,average_score
llava-olmo_1b_token41B-finetune,0.6583333333333333,0.0697952961672435,0.448,0.1027337935174069,0.0575892857142857,0.2672903417464539
llava-olmo_1b_token494B-1e-3pt-1e-5ft-finetune,0.8056666666666666,0.1171971826728298,0.624,0.5357475990396158,0.3,0.47652228967582244
llava-olmo_1b_token3094B-finetune,0.854,0.1158836383501749,0.689,0.6205560724289716,0.2705357142857143,0.5099950850129722
llava-olmo_1b_token41B-1e-3pt-1e-5ft-finetune,0.5016666666666667,0.060762657479648,0.394,0.0254166666666666,0.0607142857142857,0.20851205530545341
llava-olmo_1b_token1874B-finetune,0.8546666666666667,0.1033906066458258,0.636,0.6136158963585433,0.2803571428571428,0.4976060625056357
llava-olmo_1b_token494B-finetune,0.8333333333333334,0.1179822163390947,0.63,0.5706834233693477,0.2665178571428571,0.4837033660369266
llava-olmo_1b_token2353B-finetune,0.833,0.0957139036783095,0.616,0.568970338135254,0.3017857142857143,0.48309399121985547
llava-olmo_1b_token1500B-finetune,0.833,0.0977085478887729,0.606,0.5714040616246497,0.2616071428571428,0.4739439504741131
llava-olmo_1b_token1874B-1e-3pt-1e-5ft-finetune,0.8306666666666667,0.1341650731951934,0.635,0.581919817927171,0.2741071428571428,0.4911717401292348
llava-olmo_1b_token1500B-1e-3pt-1e-5ft-finetune,0.8056666666666666,0.1085998330129491,0.6560000000000001,0.5296975290116046,0.2482142857142857,0.4696356628811012
llava-olmo_1b_token2767B-1e-3pt-1e-5ft-finetune,0.8423333333333334,0.1207952921802697,0.599,0.5787253401360545,0.2625,0.48067079312993155
llava-olmo_1b_token3094B-1e-3pt-1e-5ft-finetune,0.8403333333333334,0.1428727920032824,0.631,0.615609643857543,0.2897321428571428,0.5039095824102604
llava-olmo_1b_token2767B-1e-3pt-4e-5ft-finetune,0.8346666666666667,0.1095116229473196,0.569,0.5566708183273309,0.2883928571428572,0.47164839301683487
llava-olmo_1b_token494B-1e-3pt-4e-5ft-finetune,0.8506666666666667,0.1167196753674019,0.674,0.5792473489395759,0.3098214285714286,0.5060910239090146
llava-olmo_1b_token41B-1e-3pt-4e-5ft-finetune,0.7416666666666667,0.0799841222586047,0.466,0.0760269607843137,0.034375,0.27961054994191703
llava-olmo_1b_token3094B-1e-3pt-4e-5ft-finetune,0.8696666666666667,0.1039962608085966,0.6078431372549019,0.5881459083633453,0.2375,0.4814303946187021
llava-olmo_1b_token2353B-1e-3pt-4e-5ft-finetune,0.8123333333333334,0.0998689974208846,0.627,0.5781112444977992,0.2446428571428571,0.47239128647897477
llava-olmo_1b_token41B-1e-3pt-8e-6ft-finetune,0.5003333333333333,0.0581116702612012,0.382,0.0235416666666666,0.05625,0.20404733405224024
llava-olmo_1b_token1500B-1e-3pt-4e-5ft-finetune,0.8356666666666667,0.1078280975566351,0.628,0.5975277110844338,0.296875,0.4931794950615472
llava-olmo_1b_token494B-1e-3pt-8e-6ft-finetune,0.772,0.1041400360003103,0.604,0.520405862344938,0.2915178571428571,0.45841275109762103
llava-olmo_1b_token1500B-1e-3pt-8e-6ft-finetune,0.8063333333333333,0.1056049855464184,0.653,0.5206512605042016,0.2566964285714286,0.46845720159107634
llava-olmo_1b_token2353B-1e-3pt-8e-6ft-finetune,0.777,0.0930190499155988,0.536,0.5326959783913564,0.3089285714285714,0.4495287199471053
llava-olmo_1b_token2767B-1e-3pt-8e-6ft-finetune,0.8193333333333334,0.1237424547283665,0.5919999999999999,0.5754940976390557,0.2589285714285714,0.4738996914258653
llava-olmo_1b_token2353B-1e-3pt-1e-5ft-finetune,0.799,0.079734821040426,0.554,0.5301269507803122,0.30625,0.45382235436414764
llava-olmo_1b_token1874B-1e-3pt-8e-6ft-finetune,0.823,0.1577841713476659,0.647,0.5779040616246498,0.2790178571428571,0.49694121802303454
llava-olmo_1b_token3094B-1e-3pt-8e-6ft-finetune,0.823,0.1149547965846284,0.589,0.608968887555022,0.2741071428571428,0.48200616539935864
