model_name,mme,docvqa,gqa,pope,textvqa,chartqa,average
llava-qwen_0.5b-finetune-baseline,0.4783298676613502,0.19872873434286784,0.541421529654953,0.8349279399297566,0.3229399999999988,0.1192,0.41592467859815446
llava-qwen_0.5b-finetune-local-conv-deep-1tokens,0.39528414937403533,0.10244905589829875,0.4559548417872476,0.7700683424070429,0.09328000000000009,0.0924,0.3182393982444374
llava-qwen_0.5b-finetune-local-conv-deep-16tokens,0.4306910621391414,0.12394840157038699,0.4779774208936238,0.8018147086914995,0.18623999999999952,0.0988,0.35324526554910846
llava-qwen_0.5b-finetune-local-conv-deep-4tokens,0.4524073915280398,0.10413161338567957,0.4798060104945142,0.7913362528109836,0.13245999999999986,0.098,0.34302354470320284
llava-qwen_1.8b-finetune-local-conv-deep-1tokens,0.4433924998570857,0.09777528510001869,0.4751152806487518,0.7822893287084268,0.11272000000000003,0.0956,0.3344820657190472
llava-qwen_0.5b-finetune-local-conv-deep-36tokens,0.44342912164865944,0.14133482893998878,0.5023056129750357,0.8049200492004921,0.24081999999999926,0.1004,0.3722016021273626
llava-qwen_1.8b-finetune-local-conv-deep-4tokens,0.5023542631338249,0.11478781080575809,0.5163778025123231,0.8053327307648853,0.1601199999999997,0.0992,0.3663621012027985
llava-qwen_1.8b-finetune-local-conv-deep-16tokens,0.4839881666952495,0.12824827070480463,0.5129591349976149,0.8186516595842426,0.22233999999999937,0.106,0.3786978719969851
llava-qwen_1.8b-finetune-local-conv-deep-36tokens,0.49746484308008915,0.14451299308281923,0.524328192081412,0.8196184010300831,0.2701199999999991,0.1104,0.39440740487906706
llava-qwen_4b-finetune-local-conv-deep-16tokens,0.513964157091408,0.14675640306599363,0.5344251868341549,0.8078551269990593,0.2387399999999993,0.112,0.3922901456651025
llava-qwen_4b-finetune-local-conv-deep-36tokens,0.5378145186646087,0.1691905028977379,0.5523135633646049,0.8043745391988204,0.29485999999999896,0.1196,0.41302552068762854
llava-qwen_4b-finetune-local-conv-deep-4tokens,0.4768693191562339,0.12133108992335016,0.5082684051518525,0.7769305122972827,0.15045999999999968,0.1108,0.35744322108811977
llava-qwen_7b-finetune-local-conv-deep-1tokens,0.5241487309209398,0.12955692652832304,0.5190014310701224,0.7931954636424282,0.14859999999999965,0.1172,0.37195042536030215
llava-qwen_7b-finetune-local-conv-deep-4tokens,0.5695543217286915,0.13703495980557112,0.5516775321990778,0.8119346881240457,0.1915199999999995,0.126,0.39795358364289757
llava-qwen_4b-finetune-local-conv-deep-1tokens,0.4820281326816441,0.11890072910824454,0.48926697408173,0.7757360618083107,0.13469999999999985,0.1056,0.35103864961332154
llava-qwen_7b-finetune-local-conv-deep-36tokens,0.5861932630194936,0.17610768367919238,0.572905072348545,0.8158905424867978,0.30221999999999904,0.1276,0.4301527602556714
llava-qwen_7b-finetune-local-conv-deep-64tokens,0.6243923640884925,0.1862030286034773,0.5806169502305613,0.8228155339805825,0.33745999999999876,0.132,0.44724797948385203
llava-qwen_7b-finetune-local-conv-deep-144tokens,0.6189448636597494,0.20209384931762947,0.5904754332962315,0.8251817173832696,0.37395999999999896,0.1404,0.4585093106094799
