model_name,mme,docvqa,gqa,pope,textvqa,chartqa,ai2d,mmbench,mmmu,scienceqa,mathvista,average
llava-qwen_0.5b-finetune-baseline,0.4783298676613502,0.19872873434286784,0.541421529654953,0.8349279399297566,0.3229399999999988,0.1192,0.38277202072538863,0.47766323024054985,0.30333,0.5692053760905447,0.18100000000000002,0.40086533624049175
llava-qwen_0.5b-finetune-local-conv-deep-1tokens,0.39528414937403533,0.10244905589829875,0.4559548417872476,0.7700683424070429,0.09328000000000009,0.0924,0.405440414507772,0.3324742268041237,0.28778,0.5633105399669889,0.16699999999999998,0.3332219609768645
llava-qwen_0.5b-finetune-local-conv-deep-16tokens,0.4306910621391414,0.12394840157038699,0.4779774208936238,0.8018147086914995,0.18623999999999952,0.0988,0.38860103626943004,0.43900343642611683,0.29444,0.5708559302051402,0.168,0.3618519996541216
llava-qwen_0.5b-finetune-local-conv-deep-4tokens,0.4524073915280398,0.10413161338567957,0.4798060104945142,0.7913362528109836,0.13245999999999986,0.098,0.3941062176165803,0.4149484536082475,0.30778,0.5729780712096204,0.16699999999999998,0.3559049100594241
llava-qwen_1.8b-finetune-local-conv-deep-1tokens,0.4433924998570857,0.09777528510001869,0.4751152806487518,0.7822893287084268,0.11272000000000003,0.0956,0.4880181347150259,0.44501718213058417,0.33333,0.6463098325866541,0.191,0.37368795852241343
llava-qwen_0.5b-finetune-local-conv-deep-36tokens,0.44342912164865944,0.14133482893998878,0.5023056129750357,0.8049200492004921,0.24081999999999926,0.1004,0.3866580310880829,0.45618556701030927,0.29889,0.5609526055175666,0.166,0.37289961967092133
llava-qwen_1.8b-finetune-local-conv-deep-4tokens,0.5023542631338249,0.11478781080575809,0.5163778025123231,0.8053327307648853,0.1601199999999997,0.0992,0.48186528497409326,0.511168384879725,0.32222,0.6557415703843433,0.17300000000000001,0.39474253158681394
llava-qwen_1.8b-finetune-local-conv-deep-16tokens,0.4839881666952495,0.12824827070480463,0.5129591349976149,0.8186516595842426,0.22233999999999937,0.106,0.47603626943005184,0.5085910652920962,0.34,0.6557415703843433,0.17300000000000001,0.4023232851898548
llava-qwen_1.8b-finetune-local-conv-deep-36tokens,0.49746484308008915,0.14451299308281923,0.524328192081412,0.8196184010300831,0.2701199999999991,0.1104,0.4854274611398964,0.5352233676975945,0.33,0.6517330818203254,0.183,0.4138025763574744
llava-qwen_4b-finetune-local-conv-deep-16tokens,0.513964157091408,0.14675640306599363,0.5344251868341549,0.8078551269990593,0.2387399999999993,0.112,0.5566709844559585,0.563573883161512,0.37,0.7253006366423014,0.188,0.4324805798409443
llava-qwen_4b-finetune-local-conv-deep-36tokens,0.5378145186646087,0.1691905028977379,0.5523135633646049,0.8043745391988204,0.29485999999999896,0.1196,0.5472797927461139,0.5996563573883161,0.37444,0.6899316199009667,0.19899999999999998,0.4444055358328335
llava-qwen_4b-finetune-local-conv-deep-4tokens,0.4768693191562339,0.12133108992335016,0.5082684051518525,0.7769305122972827,0.15045999999999968,0.1108,0.5401554404145078,0.5189003436426117,0.37889,0.7062013676019807,0.20600000000000002,0.4086187707443472
llava-qwen_7b-finetune-local-conv-deep-1tokens,0.5241487309209398,0.12955692652832304,0.5190014310701224,0.7931954636424282,0.14859999999999965,0.1172,0.5537564766839378,0.5283505154639175,0.37333,0.7380334826691818,0.182,0.4188339115435319
llava-qwen_7b-finetune-local-conv-deep-4tokens,0.5695543217286915,0.13703495980557112,0.5516775321990778,0.8119346881240457,0.1915199999999995,0.126,0.5521373056994818,0.5773195876288659,0.36667,0.7448714925725065,0.174,0.43661089888711274
llava-qwen_4b-finetune-local-conv-deep-1tokens,0.4820281326816441,0.11890072910824454,0.48926697408173,0.7757360618083107,0.13469999999999985,0.1056,0.5450129533678757,0.4879725085910653,0.36444,0.7132751709502476,0.204,0.4019029573262834
llava-qwen_7b-finetune-local-conv-deep-36tokens,0.5861932630194936,0.17610768367919238,0.572905072348545,0.8158905424867978,0.30221999999999904,0.1276,0.5615284974093264,0.6408934707903781,0.36222,0.7613770337184627,0.198,0.4640850512229269
llava-qwen_7b-finetune-local-conv-deep-64tokens,0.6243923640884925,0.1862030286034773,0.5806169502305613,0.8228155339805825,0.33745999999999876,0.132,0.5547279792746114,0.6288659793814433,0.35889,0.7545390238151379,0.198,0.4707737144885732
llava-qwen_7b-finetune-local-conv-deep-144tokens,0.6189448636597494,0.20209384931762947,0.5904754332962315,0.8251817173832696,0.37395999999999896,0.1404,0.5705958549222798,0.6512027491408935,0.35889,0.7415703843433152,0.217,0.48093771382394246
llava-qwen_1.8b-finetune-local-conv-deep-144tokens,0.5247363945578232,0.18900729108244532,0.5568452854189855,0.8435096153846153,0.3280399999999987,0.1196,0.49125647668393785,0.570446735395189,0.33444,0.6588068851685923,0.183,0.4363353348810533
